0.00.097.565 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.207.184 I srv          init: The UI is disabled
0.00.207.187 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.224.153 I srv    load_model: loading model 'E:/Apps/LLM/Models/unsloth/Qwen3.6-35B-A3B-MTP-GGUF/Qwen3.6-35B-A3B-UD-Q4_K_S.gguf'
0.00.449.024 E llama_init_from_model: failed to initialize the context: dflash requires ctx_other to be set (this warning is normal during memory fitting)
0.00.478.513 W srv    load_model: [spec] failed to measure draft model memory: failed to create llama_context from model
0.01.021.826 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
0.05.919.454 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 102400, kv_unified = 'true'
0.05.919.474 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dflash'
0.05.919.476 I common_speculative_impl_draft_dflash: - n_max=5, n_min=0, p_min=0.00
0.05.919.476 I common_speculative_impl_draft_dflash: - block_size=16, mask_token_id=248077, n_extract=8
0.06.284.967 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.284.994 I srv  llama_server: model loaded
0.06.284.996 I srv  llama_server: listening on http://127.0.0.1:18098
0.06.947.161 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.03.636.283 I slot print_timing: id  0 | task 22 | n_decoded =    157, tg =   6.98 t/s, tg_3s =   4.14 t/s
2.06.644.862 I slot print_timing: id  0 | task 22 | n_decoded =    176, tg =   6.91 t/s, tg_3s =   6.32 t/s
2.09.790.721 I slot print_timing: id  0 | task 22 | n_decoded =    188, tg =   6.57 t/s, tg_3s =   3.81 t/s
2.12.822.942 I slot print_timing: id  0 | task 22 | n_decoded =    205, tg =   6.47 t/s, tg_3s =   5.61 t/s
2.15.956.228 I slot print_timing: id  0 | task 22 | n_decoded =    218, tg =   6.26 t/s, tg_3s =   4.15 t/s
2.19.106.197 I slot print_timing: id  0 | task 22 | n_decoded =    233, tg =   6.14 t/s, tg_3s =   4.76 t/s
2.21.823.664 I slot print_timing: id  0 | task 22 | prompt eval time =     165.57 ms /    19 tokens (    8.71 ms per token,   114.75 tokens per second)
2.21.823.669 I slot print_timing: id  0 | task 22 |        eval time =   40665.32 ms /   256 tokens (  158.85 ms per token,     6.30 tokens per second)
2.21.823.670 I slot print_timing: id  0 | task 22 |       total time =   40830.90 ms /   275 tokens
2.21.823.671 I slot print_timing: id  0 | task 22 |    graphs reused =         96
2.21.823.677 I slot print_timing: id  0 | task 22 | draft acceptance = 0.33617 (  158 accepted /   470 generated), mean len =  2.65
2.21.823.714 I slot      release: id  0 | task 22 | stop processing: n_tokens = 274, truncated = 0
2.22.826.714 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.069
2.22.844.699 I slot launch_slot_: id  0 | task 121 | processing task, is_child = 0
2.34.032.607 I slot print_timing: id  0 | task 121 | n_decoded =    103, tg =   9.43 t/s, tg_3s =   9.43 t/s
2.37.182.603 I slot print_timing: id  0 | task 121 | n_decoded =    118, tg =   8.39 t/s, tg_3s =   4.76 t/s
2.40.544.601 I slot print_timing: id  0 | task 121 | n_decoded =    133, tg =   7.63 t/s, tg_3s =   4.46 t/s
2.43.616.725 I slot print_timing: id  0 | task 121 | n_decoded =    150, tg =   7.32 t/s, tg_3s =   5.53 t/s
2.54.080.502 I slot print_timing: id  0 | task 121 | n_decoded =    172, tg =   5.55 t/s, tg_3s =   2.10 t/s
2.57.469.279 I slot print_timing: id  0 | task 121 | n_decoded =    185, tg =   5.38 t/s, tg_3s =   3.84 t/s
3.00.787.010 I slot print_timing: id  0 | task 121 | n_decoded =    193, tg =   5.12 t/s, tg_3s =   2.41 t/s
3.04.170.388 I slot print_timing: id  0 | task 121 | n_decoded =    211, tg =   5.14 t/s, tg_3s =   5.32 t/s
3.07.174.608 I slot print_timing: id  0 | task 121 | n_decoded =    230, tg =   5.22 t/s, tg_3s =   6.32 t/s
3.10.217.756 I slot print_timing: id  0 | task 121 | n_decoded =    251, tg =   5.33 t/s, tg_3s =   6.90 t/s
3.10.686.838 I slot print_timing: id  0 | task 121 | prompt eval time =     268.31 ms /    19 tokens (   14.12 ms per token,    70.81 tokens per second)
3.10.686.844 I slot print_timing: id  0 | task 121 |        eval time =   47573.81 ms /   256 tokens (  185.84 ms per token,     5.38 tokens per second)
3.10.686.845 I slot print_timing: id  0 | task 121 |       total time =   47842.12 ms /   275 tokens
3.10.686.845 I slot print_timing: id  0 | task 121 |    graphs reused =        186
3.10.686.851 I slot print_timing: id  0 | task 121 | draft acceptance = 0.33617 (  158 accepted /   470 generated), mean len =  2.65
3.10.686.888 I slot      release: id  0 | task 121 | stop processing: n_tokens = 274, truncated = 0
3.11.782.313 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.069
3.11.782.534 I slot launch_slot_: id  0 | task 220 | processing task, is_child = 0
3.22.584.208 I slot print_timing: id  0 | task 220 | n_decoded =    103, tg =   9.87 t/s, tg_3s =   9.87 t/s
3.25.771.692 I slot print_timing: id  0 | task 220 | n_decoded =    116, tg =   8.51 t/s, tg_3s =   4.08 t/s
3.29.100.830 I slot print_timing: id  0 | task 220 | n_decoded =    132, tg =   7.79 t/s, tg_3s =   4.81 t/s
3.32.483.204 I slot print_timing: id  0 | task 220 | n_decoded =    150, tg =   7.38 t/s, tg_3s =   5.32 t/s
3.35.743.393 I slot print_timing: id  0 | task 220 | n_decoded =    172, tg =   7.29 t/s, tg_3s =   6.75 t/s
3.38.978.418 I slot print_timing: id  0 | task 220 | n_decoded =    185, tg =   6.90 t/s, tg_3s =   4.02 t/s
3.42.124.225 I slot print_timing: id  0 | task 220 | n_decoded =    202, tg =   6.74 t/s, tg_3s =   5.40 t/s
3.45.323.314 I slot print_timing: id  0 | task 220 | n_decoded =    218, tg =   6.57 t/s, tg_3s =   5.00 t/s
3.48.571.679 I slot print_timing: id  0 | task 220 | n_decoded =    239, tg =   6.56 t/s, tg_3s =   6.46 t/s
3.50.814.068 I slot print_timing: id  0 | task 220 | prompt eval time =     365.08 ms /    19 tokens (   19.21 ms per token,    52.04 tokens per second)
3.50.814.073 I slot print_timing: id  0 | task 220 |        eval time =   38666.44 ms /   256 tokens (  151.04 ms per token,     6.62 tokens per second)
3.50.814.074 I slot print_timing: id  0 | task 220 |       total time =   39031.52 ms /   275 tokens
3.50.814.106 I slot print_timing: id  0 | task 220 |    graphs reused =        276
3.50.814.118 I slot print_timing: id  0 | task 220 | draft acceptance = 0.33617 (  158 accepted /   470 generated), mean len =  2.65
3.50.814.151 I slot      release: id  0 | task 220 | stop processing: n_tokens = 274, truncated = 0
3.51.859.059 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 226187375
3.51.859.408 I slot launch_slot_: id  0 | task 319 | processing task, is_child = 0
4.03.704.776 I slot print_timing: id  0 | task 319 | n_decoded =    100, tg =  13.49 t/s, tg_3s =  13.49 t/s
4.06.811.195 I slot print_timing: id  0 | task 319 | n_decoded =    139, tg =  13.21 t/s, tg_3s =  12.55 t/s
4.10.179.926 I slot print_timing: id  0 | task 319 | n_decoded =    177, tg =  12.74 t/s, tg_3s =  11.28 t/s
4.13.511.854 I slot print_timing: id  0 | task 319 | n_decoded =    216, tg =  12.54 t/s, tg_3s =  11.70 t/s
4.16.849.254 I slot print_timing: id  0 | task 319 | n_decoded =    264, tg =  12.84 t/s, tg_3s =  14.38 t/s
4.19.934.249 I slot print_timing: id  0 | task 319 | n_decoded =    302, tg =  12.77 t/s, tg_3s =  12.32 t/s
4.23.128.868 I slot print_timing: id  0 | task 319 | n_decoded =    347, tg =  12.93 t/s, tg_3s =  14.09 t/s
4.26.449.650 I slot print_timing: id  0 | task 319 | n_decoded =    395, tg =  13.10 t/s, tg_3s =  14.45 t/s
4.29.729.259 I slot print_timing: id  0 | task 319 | n_decoded =    428, tg =  12.80 t/s, tg_3s =  10.06 t/s
4.32.911.272 I slot print_timing: id  0 | task 319 | n_decoded =    463, tg =  12.64 t/s, tg_3s =  11.00 t/s
4.36.193.990 I slot print_timing: id  0 | task 319 | n_decoded =    507, tg =  12.71 t/s, tg_3s =  13.40 t/s
4.39.391.360 I slot print_timing: id  0 | task 319 | n_decoded =    546, tg =  12.67 t/s, tg_3s =  12.20 t/s
4.42.677.185 I slot print_timing: id  0 | task 319 | n_decoded =    580, tg =  12.50 t/s, tg_3s =  10.35 t/s
4.46.012.971 I slot print_timing: id  0 | task 319 | n_decoded =    624, tg =  12.55 t/s, tg_3s =  13.19 t/s
4.49.225.406 I slot print_timing: id  0 | task 319 | n_decoded =    664, tg =  12.54 t/s, tg_3s =  12.45 t/s
4.52.585.771 I slot print_timing: id  0 | task 319 | n_decoded =    708, tg =  12.58 t/s, tg_3s =  13.09 t/s
4.56.067.957 I slot print_timing: id  0 | task 319 | n_decoded =    752, tg =  12.58 t/s, tg_3s =  12.64 t/s
4.59.103.408 I slot print_timing: id  0 | task 319 | n_decoded =    784, tg =  12.48 t/s, tg_3s =  10.54 t/s
5.02.460.015 I slot print_timing: id  0 | task 319 | n_decoded =    832, tg =  12.57 t/s, tg_3s =  14.30 t/s
5.05.897.529 I slot print_timing: id  0 | task 319 | n_decoded =    880, tg =  12.64 t/s, tg_3s =  13.96 t/s
5.08.961.049 I slot print_timing: id  0 | task 319 | n_decoded =    919, tg =  12.65 t/s, tg_3s =  12.73 t/s
5.11.967.637 I slot print_timing: id  0 | task 319 | n_decoded =    958, tg =  12.66 t/s, tg_3s =  12.97 t/s
5.15.373.100 I slot print_timing: id  0 | task 319 | n_decoded =    995, tg =  12.58 t/s, tg_3s =  10.86 t/s
5.17.417.480 I slot print_timing: id  0 | task 319 | prompt eval time =    4431.94 ms /    76 tokens (   58.32 ms per token,    17.15 tokens per second)
5.17.417.501 I slot print_timing: id  0 | task 319 |        eval time =   81126.01 ms /  1024 tokens (   79.22 ms per token,    12.62 tokens per second)
5.17.417.508 I slot print_timing: id  0 | task 319 |       total time =   85557.96 ms /  1100 tokens
5.17.417.508 I slot print_timing: id  0 | task 319 |    graphs reused =        463
5.17.417.514 I slot print_timing: id  0 | task 319 | draft acceptance = 0.86100 (  830 accepted /   964 generated), mean len =  5.30
5.17.418.086 I slot      release: id  0 | task 319 | stop processing: n_tokens = 1099, truncated = 0
5.18.602.007 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.069
5.18.633.785 I slot launch_slot_: id  0 | task 514 | processing task, is_child = 0
5.31.209.495 I slot print_timing: id  0 | task 514 | n_decoded =    100, tg =   9.16 t/s, tg_3s =   9.16 t/s
5.34.523.671 I slot print_timing: id  0 | task 514 | n_decoded =    140, tg =   9.84 t/s, tg_3s =  12.07 t/s
5.37.773.133 I slot print_timing: id  0 | task 514 | n_decoded =    180, tg =  10.30 t/s, tg_3s =  12.31 t/s
5.41.066.373 I slot print_timing: id  0 | task 514 | n_decoded =    222, tg =  10.69 t/s, tg_3s =  12.75 t/s
5.44.130.899 I slot print_timing: id  0 | task 514 | n_decoded =    264, tg =  11.07 t/s, tg_3s =  13.71 t/s
5.47.145.436 I slot print_timing: id  0 | task 514 | n_decoded =    302, tg =  11.25 t/s, tg_3s =  12.61 t/s
5.50.441.042 I slot print_timing: id  0 | task 514 | n_decoded =    347, tg =  11.51 t/s, tg_3s =  13.65 t/s
5.53.634.027 I slot print_timing: id  0 | task 514 | n_decoded =    395, tg =  11.85 t/s, tg_3s =  15.03 t/s
5.56.709.685 I slot print_timing: id  0 | task 514 | n_decoded =    428, tg =  11.75 t/s, tg_3s =  10.73 t/s
5.59.994.371 I slot print_timing: id  0 | task 514 | n_decoded =    463, tg =  11.66 t/s, tg_3s =  10.66 t/s
6.03.326.656 I slot print_timing: id  0 | task 514 | n_decoded =    507, tg =  11.78 t/s, tg_3s =  13.20 t/s
6.06.481.257 I slot print_timing: id  0 | task 514 | n_decoded =    546, tg =  11.82 t/s, tg_3s =  12.36 t/s
6.09.575.315 I slot print_timing: id  0 | task 514 | n_decoded =    580, tg =  11.77 t/s, tg_3s =  10.99 t/s
6.12.619.142 I slot print_timing: id  0 | task 514 | n_decoded =    624, tg =  11.92 t/s, tg_3s =  14.46 t/s
6.15.793.775 I slot print_timing: id  0 | task 514 | n_decoded =    664, tg =  11.96 t/s, tg_3s =  12.60 t/s
6.18.986.610 I slot print_timing: id  0 | task 514 | n_decoded =    708, tg =  12.06 t/s, tg_3s =  13.78 t/s
6.22.060.539 I slot print_timing: id  0 | task 514 | n_decoded =    746, tg =  12.08 t/s, tg_3s =  12.36 t/s
6.25.209.608 I slot print_timing: id  0 | task 514 | n_decoded =    784, tg =  12.08 t/s, tg_3s =  12.07 t/s
6.28.453.480 I slot print_timing: id  0 | task 514 | n_decoded =    832, tg =  12.21 t/s, tg_3s =  14.80 t/s
6.31.807.849 I slot print_timing: id  0 | task 514 | n_decoded =    880, tg =  12.30 t/s, tg_3s =  14.31 t/s
6.35.108.644 I slot print_timing: id  0 | task 514 | n_decoded =    925, tg =  12.36 t/s, tg_3s =  13.63 t/s
6.38.357.342 I slot print_timing: id  0 | task 514 | n_decoded =    970, tg =  12.43 t/s, tg_3s =  13.85 t/s
6.41.598.543 I slot print_timing: id  0 | task 514 | n_decoded =   1013, tg =  12.46 t/s, tg_3s =  13.27 t/s
6.42.174.699 I slot print_timing: id  0 | task 514 | prompt eval time =    1658.01 ms /    76 tokens (   21.82 ms per token,    45.84 tokens per second)
6.42.174.704 I slot print_timing: id  0 | task 514 |        eval time =   81882.80 ms /  1024 tokens (   79.96 ms per token,    12.51 tokens per second)
6.42.174.707 I slot print_timing: id  0 | task 514 |       total time =   83540.81 ms /  1100 tokens
6.42.174.708 I slot print_timing: id  0 | task 514 |    graphs reused =        650
6.42.174.712 I slot print_timing: id  0 | task 514 | draft acceptance = 0.86100 (  830 accepted /   964 generated), mean len =  5.30
6.42.174.746 I slot      release: id  0 | task 514 | stop processing: n_tokens = 1099, truncated = 0
