0.00.163.662 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.169.578 I srv          init: The UI is disabled
0.00.169.581 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.173.387 I srv    load_model: loading model 'E:/Apps/LLM/Models/unsloth/Qwen3.6-27B-MTP-GGUF/Qwen3.6-27B-UD-Q4_K_XL.gguf'
0.09.903.449 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'true'
0.10.042.138 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.10.042.158 I srv  llama_server: model loaded
0.10.042.161 I srv  llama_server: listening on http://127.0.0.1:18100
0.11.131.634 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.01.031.254 I slot print_timing: id  0 | task 140 | n_decoded =    249, tg =  82.52 t/s, tg_3s =  82.51 t/s
1.04.052.614 I slot print_timing: id  0 | task 140 | n_decoded =    483, tg =  79.98 t/s, tg_3s =  77.45 t/s
1.07.076.555 I slot print_timing: id  0 | task 140 | n_decoded =    692, tg =  76.36 t/s, tg_3s =  69.12 t/s
1.10.111.764 I slot print_timing: id  0 | task 140 | n_decoded =    935, tg =  77.28 t/s, tg_3s =  80.06 t/s
1.11.144.654 I slot print_timing: id  0 | task 140 | prompt eval time =     212.94 ms /    76 tokens (    2.80 ms per token,   356.91 tokens per second)
1.11.144.660 I slot print_timing: id  0 | task 140 |        eval time =   13130.97 ms /  1024 tokens (   12.82 ms per token,    77.98 tokens per second)
1.11.144.661 I slot print_timing: id  0 | task 140 |       total time =   13343.91 ms /  1100 tokens
1.11.144.662 I slot print_timing: id  0 | task 140 |    graphs reused =        292
1.11.144.670 I slot print_timing: id  0 | task 140 | draft acceptance = 0.72727 (  832 accepted /  1144 generated), mean len =  5.36
1.11.144.713 I slot      release: id  0 | task 140 | stop processing: n_tokens = 1099, truncated = 0
1.12.414.489 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.069
1.12.460.703 I slot launch_slot_: id  0 | task 333 | processing task, is_child = 0
1.15.694.875 I slot print_timing: id  0 | task 333 | n_decoded =    244, tg =  80.79 t/s, tg_3s =  80.79 t/s
1.18.721.571 I slot print_timing: id  0 | task 333 | n_decoded =    510, tg =  84.34 t/s, tg_3s =  87.88 t/s
1.21.755.950 I slot print_timing: id  0 | task 333 | n_decoded =    767, tg =  84.46 t/s, tg_3s =  84.70 t/s
1.24.787.757 I slot print_timing: id  0 | task 333 | n_decoded =   1005, tg =  82.97 t/s, tg_3s =  78.50 t/s
1.25.122.001 I slot print_timing: id  0 | task 333 | prompt eval time =     213.86 ms /    76 tokens (    2.81 ms per token,   355.37 tokens per second)
1.25.122.008 I slot print_timing: id  0 | task 333 |        eval time =   12447.30 ms /  1024 tokens (   12.16 ms per token,    82.27 tokens per second)
1.25.122.010 I slot print_timing: id  0 | task 333 |       total time =   12661.16 ms /  1100 tokens
1.25.122.010 I slot print_timing: id  0 | task 333 |    graphs reused =        467
1.25.122.017 I slot print_timing: id  0 | task 333 | draft acceptance = 0.77675 (  842 accepted /  1084 generated), mean len =  5.65
1.25.122.073 I slot      release: id  0 | task 333 | stop processing: n_tokens = 1099, truncated = 0
